"Date","Close"
2004-11-30,45.12
2004-12-31,43.8
2005-01-31,42.22
2005-02-28,43.52
2005-03-31,42.82
2005-04-30,43.35
2005-05-31,41.65
2005-06-30,43.44
2005-07-31,42.81
2005-08-31,43.4
2005-09-30,46.7
2005-10-31,46.4
2005-11-30,49.1
2005-12-31,51.58
2006-01-31,56.7
2006-02-28,56.07
2006-03-31,58.1
2006-04-30,65.09
2006-05-31,64.23
2006-06-30,61.23
2006-07-31,63.16
2006-08-31,62.29
2006-09-30,59.47
2006-10-31,60.24
2006-11-30,64.39
2006-12-31,63.21
2007-01-31,64.83
2007-02-28,66.48
2007-03-31,65.74
2007-04-30,67.09
2007-05-31,65.54
2007-06-30,64.27
2007-07-31,65.79
2007-08-31,66.52
2007-09-30,73.51
2007-10-31,78.62
2007-11-30,77.32
2007-12-31,82.46
2008-01-31,91.4
2008-02-29,96.18
2008-03-31,90.41
2008-04-30,86.65
2008-05-31,87.45
2008-06-30,91.4
2008-07-31,90.08
2008-08-31,81.71
2008-09-30,85.07
2008-10-31,71.34
2008-11-30,80.31
2008-12-31,86.52
2009-01-31,91.31
2009-02-28,92.63
2009-03-31,90.28
2009-04-30,87.27
2009-05-31,96.2
2009-06-30,91.18
2009-07-31,93.35
2009-08-31,93.4
2009-09-30,98.85
2009-10-31,102.53
2009-11-30,115.64
2009-12-31,107.31
2010-01-31,105.96
2010-02-28,109.43
2010-03-31,108.95
2010-04-30,115.36
2010-05-31,118.88
2010-06-30,121.68
2010-07-31,115.49
2010-08-31,122.08
2010-09-30,127.91
2010-10-31,132.62
2010-11-30,135.42
2010-12-31,138.72
2011-01-31,129.87
2011-02-28,137.72
2011-03-31,139.82
2011-04-30,152.36
2011-05-31,149.64
2011-06-30,145.98
2011-07-31,158.41
2011-08-31,177.65
2011-09-30,158.08
2011-10-31,167.34
2011-11-30,170.13
2011-12-31,151.99
2012-01-31,169.31
2012-02-29,164.29
2012-03-31,162.14
2012-04-30,161.88
2012-05-31,151.62
2012-06-30,155.19
2012-07-31,156.54
2012-08-31,164.22
2012-09-30,172.02
2012-10-31,166.86
2012-11-30,166.05
2012-12-31,162.02
2013-01-31,161.2
2013-02-28,153
2013-03-31,154.47
2013-04-30,142.77
2013-05-31,133.92
2013-06-30,119.11
2013-07-31,127.96
2013-08-31,134.62
2013-09-30,128.18
2013-10-31,127.74
2013-11-30,120.7
2013-12-31,116.12
2014-01-31,120.09
2014-02-28,127.62
2014-03-31,123.61
2014-04-30,124.22
2014-05-31,120.43
2014-06-30,128.04
2014-07-31,123.39
2014-08-31,123.86
2014-09-30,116.21
2014-10-31,112.66
2014-11-30,112.11
2014-12-31,113.58
2015-01-31,123.45
2015-02-28,116.16
2015-03-31,113.66
2015-04-30,113.47
2015-05-31,114.1
2015-06-30,112.37
2015-07-31,104.93
2015-08-31,108.82
2015-09-30,106.86
2015-10-31,109.3
2015-11-30,101.92
2015-12-31,101.46
2016-01-31,106.95
2016-02-29,118.64
2016-03-31,117.64
2016-04-30,123.65
2016-05-31,122.21
