"Date","USD (PM)"
1968-01-31,NA
1968-02-29,NA
1968-03-31,NA
1968-04-30,39.1
1968-05-31,41.95
1968-06-30,40.9
1968-07-31,38.85
1968-08-31,39.8
1968-09-30,39.6
1968-10-31,39
1968-11-30,39.85
1968-12-31,41.9
1969-01-31,42.54
1969-02-28,42.7
1969-03-31,42.9
1969-04-30,43.6
1969-05-31,43.08
1969-06-30,41.2
1969-07-31,41.39
1969-08-31,40.86
1969-09-30,40.67
1969-10-31,39.75
1969-11-30,35.6
1969-12-31,35.2
1970-01-31,34.99
1970-02-28,35.02
1970-03-31,35.3
1970-04-30,35.85
1970-05-31,35.45
1970-06-30,35.49
1970-07-31,35.3
1970-08-31,35.8
1970-09-30,36.4
1970-10-31,37.25
1970-11-30,37.54
1970-12-31,37.38
1971-01-31,38.05
1971-02-28,38.8
1971-03-31,38.88
1971-04-30,39.7
1971-05-31,40.84
1971-06-30,40.1
1971-07-31,42.4
1971-08-31,40.65
1971-09-30,42.6
1971-10-31,42.34
1971-11-30,43.6
1971-12-31,43.62
1972-01-31,47.15
1972-02-29,48.2
1972-03-31,48.38
1972-04-30,49.6
1972-05-31,59.45
1972-06-30,64.65
1972-07-31,68.3
1972-08-31,66.88
1972-09-30,64.2
1972-10-31,64.39
1972-11-30,63.6
1972-12-31,64.9
1973-01-31,66
1973-02-28,85
1973-03-31,90
1973-04-30,90.72
1973-05-31,114.75
1973-06-30,123.25
1973-07-31,115.6
1973-08-31,103.5
1973-09-30,100
1973-10-31,98
1973-11-30,101
1973-12-31,112.25
1974-01-31,132.5
1974-02-28,162.5
1974-03-31,173
1974-04-30,169.25
1974-05-31,156.75
1974-06-30,144.25
1974-07-31,156
1974-08-31,156
1974-09-30,151.25
1974-10-31,167
1974-11-30,184
1974-12-31,186.5
1975-01-31,175.8
1975-02-28,181.75
1975-03-31,177.25
1975-04-30,167
1975-05-31,167
1975-06-30,166.25
1975-07-31,166.7
1975-08-31,159.8
1975-09-30,141.25
1975-10-31,142.9
1975-11-30,138.15
1975-12-31,140.25
1976-01-31,128.15
1976-02-29,132.3
1976-03-31,129.6
1976-04-30,128.4
1976-05-31,125.5
1976-06-30,123.8
1976-07-31,112.5
1976-08-31,104
1976-09-30,116
1976-10-31,123.15
1976-11-30,130.25
1976-12-31,134.5
1977-01-31,132.3
1977-02-28,142.75
1977-03-31,148.9
1977-04-30,147.25
1977-05-31,142.95
1977-06-30,143
1977-07-31,144.1
1977-08-31,146
1977-09-30,154.05
1977-10-31,161.5
1977-11-30,160.05
1977-12-31,164.95
1978-01-31,175.75
1978-02-28,182.25
1978-03-31,181.6
1978-04-30,170.85
1978-05-31,184.15
1978-06-30,183.05
1978-07-31,200.25
1978-08-31,208.7
1978-09-30,217.1
1978-10-31,242.6
1978-11-30,193.4
1978-12-31,226
1979-01-31,233.7
1979-02-28,251.3
1979-03-31,240.1
1979-04-30,245.3
1979-05-31,274.6
1979-06-30,277.5
1979-07-31,296.45
1979-08-31,315.1
1979-09-30,397.25
1979-10-31,382
1979-11-30,415.65
1979-12-31,512
1980-01-31,653
1980-02-29,637
1980-03-31,494.5
1980-04-30,518
1980-05-31,535.5
1980-06-30,653.5
1980-07-31,614.25
1980-08-31,631.25
1980-09-30,666.75
1980-10-31,629
1980-11-30,619.75
1980-12-31,589.75
1981-01-31,506.5
1981-02-28,489
1981-03-31,513.75
1981-04-30,482.75
1981-05-31,479.25
1981-06-30,426
1981-07-31,406
1981-08-31,425
1981-09-30,428.75
1981-10-31,427
1981-11-30,414.5
1981-12-31,397.5
1982-01-31,387
1982-02-28,362.6
1982-03-31,320
1982-04-30,361.25
1982-05-31,325.25
1982-06-30,317.5
1982-07-31,342.9
1982-08-31,411.5
1982-09-30,397
1982-10-31,423.25
1982-11-30,436
1982-12-31,456.9
1983-01-31,499.5
1983-02-28,408.5
1983-03-31,414.75
1983-04-30,429.25
1983-05-31,437.5
1983-06-30,416
1983-07-31,422
1983-08-31,414.25
1983-09-30,405
1983-10-31,382
1983-11-30,405
1983-12-31,382.4
1984-01-31,373.75
1984-02-29,394.25
1984-03-31,388.5
1984-04-30,375.8
1984-05-31,384.25
1984-06-30,373.05
1984-07-31,342.35
1984-08-31,348.25
1984-09-30,343.75
1984-10-31,333.5
1984-11-30,329
1984-12-31,308.3
1985-01-31,306.65
1985-02-28,287.75
1985-03-31,329.25
1985-04-30,321.35
1985-05-31,314
1985-06-30,317.75
1985-07-31,327.5
1985-08-31,333.25
1985-09-30,325.75
1985-10-31,325.1
1985-11-30,325.3
1985-12-31,326.8
1986-01-31,350.5
1986-02-28,338.15
1986-03-31,344
1986-04-30,345.75
1986-05-31,343.2
1986-06-30,346.75
1986-07-31,357.5
1986-08-31,384.7
1986-09-30,423.2
1986-10-31,401
1986-11-30,389.5
1986-12-31,388.75
1987-01-31,400.5
1987-02-28,405.85
1987-03-31,421
1987-04-30,453.25
1987-05-31,451
1987-06-30,447.3
1987-07-31,462.5
1987-08-31,453.4
1987-09-30,459.5
1987-10-31,468.8
1987-11-30,492.5
1987-12-31,484.1
1988-01-31,458
