Date,USD (PM),Yuan
2004-01-31,399.75,0
2004-02-29,395.85,0
2004-03-31,423.7,0
2004-04-30,388.5,0
2004-05-31,393.25,0
2004-06-30,395.8,0
2004-07-31,391.4,0
2004-08-31,407.25,0
2004-09-30,415.65,0
2004-10-31,425.55,0
2004-11-30,453.4,0
2004-12-31,435.6,0
2005-01-31,422.15,0
2005-02-28,435.45,0
2005-03-31,427.5,0
2005-04-30,435.7,0
2005-05-31,414.45,0
2005-06-30,437.1,0
2005-07-31,429,0
2005-08-31,433.25,0
2005-09-30,473.25,0
2005-10-31,470.75,0
2005-11-30,495.65,0
2005-12-31,513,0
2006-01-31,568.75,0
2006-02-28,556,0
2006-03-31,582,0
2006-04-30,644,0
2006-05-31,653,0
2006-06-30,613.5,0
2006-07-31,632.5,0
2006-08-31,623.5,0
2006-09-30,599.25,0
2006-10-31,603.75,0
2006-11-30,646.7,0
2006-12-31,632,0
2007-01-31,650.5,0
2007-02-28,664.2,0
2007-03-31,661.75,0
2007-04-30,677,0
2007-05-31,659.1,0
2007-06-30,650.5,0
2007-07-31,665.5,0
2007-08-31,672,0
2007-09-30,743,0
2007-10-31,789.5,0
2007-11-30,783.5,0
2007-12-31,833.75,0
2008-01-31,923.25,0
2008-02-29,971.5,0
2008-03-31,933.5,0
2008-04-30,871,0
2008-05-31,885.75,0
2008-06-30,930.25,0
2008-07-31,918,0
2008-08-31,833,0
2008-09-30,884.5,0
2008-10-31,730.75,0
2008-11-30,814.5,0
2008-12-31,869.75,0
2009-01-31,919.5,0
2009-02-28,952,0
2009-03-31,916.5,0
2009-04-30,883.25,0
2009-05-31,975.5,0
2009-06-30,934.5,0
2009-07-31,939,0
2009-08-31,955.5,0
2009-09-30,995.75,0
2009-10-31,1040,0
2009-11-30,1175.75,0
2009-12-31,1087.5,0
2010-01-31,1078.5,0
2010-02-28,1108.25,0
2010-03-31,1115.5,0
2010-04-30,1179.25,0
2010-05-31,1207.5,0
2010-06-30,1244,0
2010-07-31,1169,0
2010-08-31,1246,0
2010-09-30,1307,0
2010-10-31,1346.75,0
2010-11-30,1383.5,0
2010-12-31,1405.5,0
2011-01-31,1327,0
2011-02-28,1411,0
2011-03-31,1439,0
2011-04-30,1535.5,0
2011-05-31,1536.5,0
2011-06-30,1505.5,0
2011-07-31,1628.5,0
2011-08-31,1813.5,0
2011-09-30,1620,0
2011-10-31,1722,0
2011-11-30,1746,0
2011-12-31,1531,0
2012-01-31,1744,0
2012-02-29,1770,0
2012-03-31,1662.5,0
2012-04-30,1651.25,0
2012-05-31,1558,0
2012-06-30,1598.5,0
2012-07-31,1622,0
2012-08-31,1648.5,0
2012-09-30,1776,0
2012-10-31,1719,0
2012-11-30,1726,0
2012-12-31,1657.5,0
2013-01-31,1664.75,0
2013-02-28,1588.5,0
2013-03-31,1598.25,0
2013-04-30,1469,0
2013-05-31,1394.5,0
2013-06-30,1192,0
2013-07-31,1314.5,0
2013-08-31,1394.75,0
2013-09-30,1326.5,0
2013-10-31,1324,0
2013-11-30,1253,0
2013-12-31,1204.5,0
2014-01-31,1251,0
2014-02-28,1326.5,0
2014-03-31,1291.75,0
2014-04-30,1288.5,0
2014-05-31,1250.5,0
2014-06-30,1315,0
2014-07-31,1285.25,0
2014-08-31,1285.75,0
2014-09-30,1216.5,0
2014-10-31,1164.25,0
2014-11-30,1182.75,0
2014-12-31,1206,0
2015-01-31,1260.25,0
2015-02-28,1214,0
2015-03-31,1187,0
2015-04-30,1180.25,0
2015-05-31,1191.4,0
2015-06-30,1171,0
2015-07-31,1098.4,0
2015-08-31,1135,1
2015-09-30,1114,0
2015-10-31,1142.35,0
2015-11-30,1061.9,0
2015-12-31,1060,0
2016-01-31,1111.8,0
2016-02-29,1234.9,0
2016-03-31,1237,0
2016-04-30,1285.65,0
2016-05-31,1265.9,0
